,ссылка,цена,агенство,общая площадь,жилая площадь,этаж,всего этажей,Дети,холодильник,посудомойка,стиральная машина,мебель в комнатах,мебель на кухне,телевизор,интернет,кондиционер,душ,ванна,район,улица
92,https://mahachkala.cian.ru/rent/flat/287333122/,2500,Собственник,58,12,3,10,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
93,https://mahachkala.cian.ru/rent/flat/287337395/,2500,Собственник,45,35,2,2,1,1,0,1,1,1,1,1,1,0,0, Советский, Оскара
94,https://mahachkala.cian.ru/rent/flat/287343782/,4000,Собственник,110,0,2,4,1,1,0,1,1,1,1,1,1,0,1, Кировский, Эмирова
95,https://mahachkala.cian.ru/rent/flat/287289235/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,https://mahachkala.cian.ru/rent/flat/287345776/,000₽/мес.,Собственник,88,0,5,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский,0
97,https://mahachkala.cian.ru/rent/flat/275453179/,4000,0,50,32,1,2,1,1,0,1,1,1,1,1,1,0,1, Советский, Оскара
98,https://mahachkala.cian.ru/rent/flat/286284474/,2500,Собственник,42,36,1,2,1,1,0,1,1,1,1,1,1,0,0, Ленинский, 1-й Пушкина
99,https://mahachkala.cian.ru/rent/flat/282138575/,2200,Собственник,45,35,1,4,1,1,0,1,1,1,1,1,0,0,1, Советский, Салаватова
100,https://mahachkala.cian.ru/rent/flat/276116135/,3500,Собственник,60,0,2,5,1,1,0,1,1,1,1,1,1,0,1, Ленинский,просп. Расула Гамзатова
101,https://mahachkala.cian.ru/rent/flat/284879677/,4000,0,64,0,4,5,1,1,0,1,1,1,1,1,1,0,1, Ленинский,просп. Расула Гамзатова
102,https://mahachkala.cian.ru/rent/flat/275783836/,2200,Собственник,66,0,12,13,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Хаджи Булача
103,https://mahachkala.cian.ru/rent/flat/274360074/,3000,0,52,0,3,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский,0
104,https://mahachkala.cian.ru/rent/flat/271020505/,3000,Собственник,60,20,2,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Кородинская
105,https://mahachkala.cian.ru/rent/flat/274924452/,3500,Собственник,45,0,7,14,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
106,https://mahachkala.cian.ru/rent/flat/271406277/,4000,Собственник,55,0,6,13,1,1,1,1,1,1,1,1,1,0,1, Ленинский,0
107,https://mahachkala.cian.ru/rent/flat/287333978/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,https://mahachkala.cian.ru/rent/flat/287324803/,2400,Собственник,65,65,2,2,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Нахимова
109,https://mahachkala.cian.ru/rent/flat/287317909/,2500,Собственник,64,50,10,10,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
110,https://mahachkala.cian.ru/rent/flat/287330063/,2500,0,79,65,4,9,1,1,0,1,1,1,1,1,1,0,1,0, Ленина
111,https://mahachkala.cian.ru/rent/flat/287334142/,3000,Собственник,52,40,9,10,1,1,0,0,1,1,1,1,1,0,1, Ленинский,0
112,https://mahachkala.cian.ru/rent/flat/241834132/,1500,Собственник,40,15,1,3,1,1,0,1,1,1,1,1,1,1,0, Ленинский, Лаптиева
113,https://mahachkala.cian.ru/rent/flat/284997918/,2500,0,46,18,6,6,1,1,0,1,1,1,1,1,1,0,1, Советский, Абдулхамида Юсупова
114,https://mahachkala.cian.ru/rent/flat/286901074/,5000,0,60,50,3,5,1,1,0,1,1,1,1,1,1,1,1, Ленинский,0
115,https://mahachkala.cian.ru/rent/flat/274590170/,2200,Собственник,50,46,6,11,1,1,0,1,1,1,1,1,1,0,1, Ленинский,0
116,https://cian.bronevik.com/ru/guest/book.php?sd&ed&currency=RUB&room=1215284&room_type=2&pay_type=2&rate_type=0&cian_source=cian&cian_medium=book_button_serp_desktop&cian_campaign=feed_bronevik&submarker=feed_bronevik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,https://mahachkala.cian.ru/rent/flat/287000718/,2000,Собственник,40,0,2,5,1,1,0,1,1,1,1,1,1,0,1,0, Азиза Алиева
118,https://cian.ostrovok.ru/rooms/u_morya_v_makhachkale_apartments?cian_source=cian&cian_medium=book_button_serp_desktop&cian_campaign=feed_pilot&submarker=feed_pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,https://cian.ostrovok.ru/rooms/medeya_apartments?cian_source=cian&cian_medium=book_button_serp_desktop&cian_campaign=feed_pilot&submarker=feed_pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,https://cian.ostrovok.ru/rooms/zhilaya_kvartira_apartments?cian_source=cian&cian_medium=book_button_serp_desktop&cian_campaign=feed_pilot&submarker=feed_pilot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,https://mahachkala.cian.ru/rent/flat/272403895/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,https://mahachkala.cian.ru/rent/flat/286891702/,5000,Собственник,75,0,4,5,1,1,1,1,1,1,1,1,1,1,0,0, С. Стальского
123,https://mahachkala.cian.ru/rent/flat/287173155/,3000,Собственник,56,20,5,11,1,1,0,1,1,1,1,1,1,1,1,0,0
124,https://mahachkala.cian.ru/rent/flat/287275664/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,https://mahachkala.cian.ru/rent/flat/287341107/,2000,Собственник,32,14,14,14,0,1,0,1,1,1,1,1,1,0,1, Ленинский, Эльзы Ибрагимовой
126,https://mahachkala.cian.ru/rent/flat/287334142/,3000,Собственник,52,40,9,10,1,1,0,0,1,1,1,1,1,0,1, Ленинский,0
127,https://mahachkala.cian.ru/rent/flat/287333809/,2000,Собственник,50,0,3,5,1,1,0,1,1,1,1,1,1,0,1,0, М. Халилова
128,https://mahachkala.cian.ru/rent/flat/286707324/,1500,Собственник,32,24,2,5,1,1,0,1,1,1,1,1,1,0,1,0, Орджоникидзе
129,https://mahachkala.cian.ru/rent/flat/286091003/,4000,Собственник,76,12,8,10,1,1,0,1,1,1,1,1,1,0,1,0, М. Халилова
130,https://mahachkala.cian.ru/rent/flat/260483065/,3500,0,50,0,7,13,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Лаптиева
131,https://mahachkala.cian.ru/rent/flat/285231850/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,https://mahachkala.cian.ru/rent/flat/287245400/,2000,Собственник,73,0,10,11,1,1,0,1,1,1,1,1,0,0,1, Советский,Газопроводная 
133,https://mahachkala.cian.ru/rent/flat/282833779/,3000,Собственник,74,14,10,10,1,1,0,1,1,1,1,1,1,0,1,0,0
134,https://mahachkala.cian.ru/rent/flat/271359607/,6000,Собственник,71,71,9,16,0,1,0,1,1,1,0,0,0,0,0, Советский,0
135,https://mahachkala.cian.ru/rent/flat/287343782/,4000,Собственник,110,0,2,4,1,1,0,1,1,1,1,1,1,0,1, Кировский, Эмирова
136,https://mahachkala.cian.ru/rent/flat/276641210/,3500,Собственник,52,51,3,3,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Лаптиева
137,https://mahachkala.cian.ru/rent/flat/287046825/,3000,Собственник,50,40,11,12,1,1,1,1,1,1,1,1,1,0,1, Ленинский, Магарамкентская
138,https://mahachkala.cian.ru/rent/flat/287333122/,2500,Собственник,58,12,3,10,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
139,https://mahachkala.cian.ru/rent/flat/276597159/,2500,Собственник,50,25,1,3,1,1,0,1,1,1,1,1,1,1,0, Советский, Солдатская
140,https://mahachkala.cian.ru/rent/flat/286609288/,3000,Собственник,50,0,6,10,1,1,0,1,1,1,1,1,1,0,1,0, Ленина
141,https://mahachkala.cian.ru/rent/flat/285037058/,3000,Собственник,70,20,8,9,1,1,0,1,1,1,1,1,1,0,1, Советский, Абдулхакима Исмаилова
142,https://mahachkala.cian.ru/rent/flat/284769039/,4000,Собственник,58,58,9,10,1,1,0,1,1,1,1,1,1,1,0,0, М. Халилова
143,https://mahachkala.cian.ru/rent/flat/286085099/,6000,Собственник,74,0,6,10,1,1,1,1,1,1,1,1,1,1,0,0, М. Халилова
144,https://mahachkala.cian.ru/rent/flat/286924034/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,https://mahachkala.cian.ru/rent/flat/287259340/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,https://mahachkala.cian.ru/rent/flat/287245400/,2000,Собственник,73,0,10,11,1,1,0,1,1,1,1,1,0,0,1, Советский,Газопроводная 
147,https://mahachkala.cian.ru/rent/flat/287217129/,2000,Собственник,50,30,1,9,1,1,0,1,1,1,0,0,0,0,0, Ленинский, Лаптиева
148,https://mahachkala.cian.ru/rent/flat/286892765/,2000,0,"43,6",12,4,9,1,1,0,1,1,1,1,1,1,0,1,0, М. Халилова
149,https://mahachkala.cian.ru/rent/flat/287140651/,2000,0,46,0,3,5,1,1,0,1,1,1,1,0,1,0,1, Ленинский,0
150,https://mahachkala.cian.ru/rent/flat/287155842/,2000,Собственник,43,32,1,5,1,1,0,1,1,1,0,1,1,0,1,0, Ленина
151,https://mahachkala.cian.ru/rent/flat/277226003/,2500,Собственник,43,0,2,10,1,1,0,1,1,1,0,1,1,1,0,0, Приморская
152,https://mahachkala.cian.ru/rent/flat/286866124/,2500,Собственник,54,0,5,9,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Габитова
153,https://mahachkala.cian.ru/rent/flat/285465346/,2500,Собственник,70,0,4,5,1,1,0,1,1,1,1,1,1,0,0,0, Байрамова
154,https://mahachkala.cian.ru/rent/flat/284304054/,2500,Собственник,51,0,5,12,1,1,0,1,1,1,1,1,1,0,1,0,просп. Акулиничева
155,https://mahachkala.cian.ru/rent/flat/286624741/,2500,Собственник,55,0,12,14,1,1,0,1,1,1,1,1,1,0,1,0,0
156,https://mahachkala.cian.ru/rent/flat/287139076/,2500,Собственник,45,15,10,10,1,1,0,1,1,1,1,1,0,0,1, Ленинский, Бейбулатова
157,https://mahachkala.cian.ru/rent/flat/287265700/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,https://mahachkala.cian.ru/rent/flat/280332910/,2800,Собственник,50,0,1,6,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Гапцахская
159,https://mahachkala.cian.ru/rent/flat/285244096/,3000,Собственник,55,0,4,10,1,1,0,1,1,1,1,1,1,1,0,0, Кавказская
160,https://mahachkala.cian.ru/rent/flat/286668337/,3000,Собственник,63,14,7,10,1,1,0,1,1,1,1,1,1,0,1,0,0
161,https://mahachkala.cian.ru/rent/flat/287248550/,3000,Собственник,67,0,3,9,1,1,0,1,1,1,0,0,0,0,0,0, Кизилюртовская
162,https://mahachkala.cian.ru/rent/flat/287167728/,3000,Собственник,56,20,6,10,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Гапцахская
163,https://mahachkala.cian.ru/rent/flat/287152434/,3000,Собственник,47,35,5,9,1,1,0,1,1,1,1,1,1,1,1, Ленинский,0
164,https://mahachkala.cian.ru/rent/flat/286752567/,3000,Собственник,53,0,3,9,1,1,0,1,1,1,1,1,1,1,0, Ленинский, Губденская
165,https://mahachkala.cian.ru/rent/flat/285772401/,3000,Собственник,52,0,6,11,1,1,0,1,1,1,0,0,0,0,0, Советский, Хизроева
166,https://mahachkala.cian.ru/rent/flat/287173155/,3000,Собственник,56,20,5,11,1,1,0,1,1,1,1,1,1,1,1,0,0
167,https://mahachkala.cian.ru/rent/flat/286737829/,3000,Собственник,85,15,2,12,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Мекегинская
168,https://mahachkala.cian.ru/rent/flat/287316918/,3000,Собственник,80,0,7,9,1,1,0,1,1,1,1,1,1,0,1, Советский, Абдулхакима Исмаилова
169,https://mahachkala.cian.ru/rent/flat/286150533/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,https://mahachkala.cian.ru/rent/flat/287135665/,3500,Собственник,58,0,7,14,1,1,0,1,1,1,1,1,1,0,1, Ленинский, Гапцахская
171,https://mahachkala.cian.ru/rent/flat/287156541/,3500,Собственник,64,0,7,10,1,1,0,1,1,1,1,1,1,0,1,0, Байрамова
172,https://mahachkala.cian.ru/rent/flat/287222867/,3500,Собственник,75,0,2,8,1,1,0,1,1,1,1,1,1,1,0, Ленинский, Тукитинская
173,https://mahachkala.cian.ru/rent/flat/285040833/,3500,Собственник,98,0,5,6,1,1,0,1,1,1,1,1,1,1,1,0,Советская 
174,https://mahachkala.cian.ru/rent/flat/284133123/,4000,0,70,0,7,7,0,1,0,1,1,1,1,1,1,0,1, Ленинский,просп. Расула Гамзатова
175,https://mahachkala.cian.ru/rent/flat/275860618/,4000,Собственник,103,0,1,13,1,1,0,1,1,1,1,1,1,0,0,0, Кавказская
176,https://mahachkala.cian.ru/rent/flat/286091003/,4000,Собственник,76,12,8,10,1,1,0,1,1,1,1,1,1,0,1,0, М. Халилова
177,https://mahachkala.cian.ru/rent/flat/286891702/,5000,Собственник,75,0,4,5,1,1,1,1,1,1,1,1,1,1,0,0, С. Стальского
178,https://mahachkala.cian.ru/rent/flat/287215876/,5000,Собственник,103,0,3,10,1,1,0,1,1,1,1,0,1,0,1, Советский, Танкаева
