,ссылка,цена,агенство,общая площадь,жилая площадь,этаж,всего этажей,Дети,холодильник,посудомойка,стиральная машина,мебель в комнатах,мебель на кухне,телевизор,интернет,кондиционер,душ,ванна,район,улица
80,https://mahachkala.cian.ru/rent/flat/287000718/,2000,Собственник,40.0,0.0,2,5,1,1,0,1,1,1,1,1,1,0,1,0,АзизаАлиева
81,https://mahachkala.cian.ru/rent/flat/287203685/,2500,Собственник,40.0,6.0,6,12,1,1,0,1,1,1,1,1,1,0,1, Кировский,0
82,https://mahachkala.cian.ru/rent/flat/274043556/,3000,Собственник,30.0,22.0,1,5,1,1,0,1,1,1,1,1,1,0,1, Кировский,Мирзабекова
83,https://mahachkala.cian.ru/rent/flat/287046825/,3000,Собственник,50.0,40.0,11,12,1,1,1,1,1,1,1,1,1,0,1, Ленинский,Магарамкентская
84,https://mahachkala.cian.ru/rent/flat/272403895/,2500,Собственник,50.0,0.0,3,9,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Ибрагима-ХаджиУрадинского
85,https://mahachkala.cian.ru/rent/flat/273899389/,2500,Собственник,65.0,0.0,4,6,1,1,0,1,1,1,1,1,1,0,1, Ленинский,Красноярская
86,https://mahachkala.cian.ru/rent/flat/277157687/,6000,Собственник,55.0,30.0,13,13,1,1,0,1,1,1,1,1,1,1,0, Ленинский,Грязелечебная
87,https://mahachkala.cian.ru/rent/flat/285453078/,3800,Собственник,67.0,0.0,17,20,1,1,0,1,1,1,1,1,1,0,1, Ленинский,ВременаГода
88,https://mahachkala.cian.ru/rent/flat/274701160/,2000,Собственник,42.0,30.0,8,10,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
90,https://mahachkala.cian.ru/rent/flat/287310886/,2500,Собственник,45.0,35.0,3,5,1,1,0,1,1,1,1,1,1,0,1,0,Комсомольская
91,https://mahachkala.cian.ru/rent/flat/287318021/,2500,Собственник,50.0,30.0,3,5,1,1,0,1,1,1,1,1,0,0,1,0,Комсомольская
92,https://mahachkala.cian.ru/rent/flat/287333122/,2500,Собственник,58.0,12.0,3,10,1,1,0,1,1,1,1,1,1,0,1,0,просп.Акулиничева
93,https://mahachkala.cian.ru/rent/flat/287337395/,2500,Собственник,45.0,35.0,2,2,1,1,0,1,1,1,1,1,1,0,0, Советский,Оскара
94,https://mahachkala.cian.ru/rent/flat/287343782/,4000,Собственник,110.0,0.0,2,4,1,1,0,1,1,1,1,1,1,0,1, Кировский,Эмирова
97,https://mahachkala.cian.ru/rent/flat/275453179/,4000,0,50.0,32.0,1,2,1,1,0,1,1,1,1,1,1,0,1, Советский,Оскара
